#,Store_ID,Store_Name,Metro_City,Invoice_ID,Bill_date,Date,Month,Week,Hour,Barcode,Local_Item_Code,Item_Description,Centralized_Description,Brand,Manufacturer_Name,Category,Sub_Category,Quantity,Selling_Price,Total_Amount,MRP,Bill_Amount,Loose_Item_Flag,is_credit,Pincode,State,Zone,Market_Cap,Payment_Mode,Payment_Type
64,10765,LOTUS SUPER STORE,Bharuch,10765-1118003837,01/01/2019 01:13:54 PM,01/01/2019,JAN19,W0,13,8901052087594,,TATA TETLEY GREEN TEA BAG TEABAGS REGULAR 100BG.,TETLEY GREEN TEAIMMUNE WITH ADDED VITAMIN C CLASSIC 100 TEA BAGS,TETLEY,TATA GLOBAL BERVERAGES LTD,TEA BAG,GREEN TEA,1,450,450,450,2693,NO,YES,392001,Gujarat,West,Surat,CASH,CREDIT
65,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901108104503,,NIRMA PINK CAKE 130 G,NIRMA PINK CAKE - 130 G (PACK OF 20),NIRMA,NIRMA LTD,DETERGENT BARS,,1,5,5,5,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
66,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,89007631,,NESCAFE CLASSIC COFEE SCHT. 6.5 GM,NESCAFE CLASSIC COFFEE 6 G,NESCAFE CLASSIC,NESTLE INDIA LTD,INSTANT COFFEE,,1,10,10,10,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
67,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901023008436,,CINTHOL TALC 300 G& GET 100 G CINTHOL TALC FREE,WHIET URAD DAL 250 G,,,DALS,URAD DAL,1,120,120,120,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
68,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,4902430684224,,GILLETTE 7O CLOCK PERMASHARP STAINLESS RAZOR,GILLETTE 7 O' CLOCK PERMASHARP,GILLETTE,PROCTER & GAMBLE PVT LTD,BLADES CARTRIDGES,,1,22,22,22,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
69,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8904109450105,,PATANJALI KESH KANTI REETHA - HAIR CLEANSER SILK & SHINE 200 ML,PATANJALI 200 ML PBT KESH KANTI SILK AND SHINE HAIR CLEANSER,PATANJALI,PANTAJALI AYURVEDA LTD,SHAMPOO,SILK AND SHINE,1,80,80,80,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
70,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901030691546,,DOVE INTENSE REPAIR CONDITIONER RS 4,DOVE INTENSE REPAIR CONDITIONER 7.5M,DOVE,HINDUSTAN UNILEVER LTD,CONDITIONERS,REPAIR,1,64,64,64,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
71,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,89006702,,NESTLE NESCAFE CLASSIC COFFEE POWDER (JAR ) 0.100GM,NESCAFE CLASSIC DAWN JAR 100G,NESCAFE CLASSIC,NESTLE INDIA LTD,INSTANT COFFEE,,1,265,265,265,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
72,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,4902430655279,,GILLETTE VICTOR3 (2 CARTRIDGES),GILLETTE VECTOR-3 CARTRIDGE (2PCS),GILLETTE,PROCTER & GAMBLE PVT LTD,BLADES CARTRIDGES,CARTRIDGE,1,130,130,130,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
73,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901207501555,,ODOPIC DISHWASH POWDER 1 KG,ODOPIC DISHWASH POWDER 1 KG,ODOPIC,DABUR INDIA LTD,UTENSIL & KITCHEN CLEANERS,DISHWASH POWDER,1,27,27,27,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
74,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8904089300773,,HAVMOR [IMPULSE] 110ML ALFOIL BUTTERSCOTCH TOPO CONE,HAVMOR [IMPULSE] 110ML ALFOIL BUTTERSCOTCH TOPO CONE,HAVMOR,HAVMOR ICE CREAM PVT LTD,ICE CREAM,BUTTER SCOTCH,1,25,25,25,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
75,10765,LOTUS SUPER STORE,Bharuch,10765-1118003842,01/01/2019 09:20:29 PM,01/01/2019,JAN19,W0,21,8901138837662,,HIMALAYA 6.25 ML PLPCH DRYNESS DEFENSE PROTIEN ALOEVERA SESAME+20% EXT,HIMALAYA DRYNESS DEFENCE SHAMPOO (7.5 ML),HIMALAYA,HIMALAYA GLOBAL HOLDINGS LTD,SHAMPOO,,1,3,3,3,3535,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
76,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901207023187,,DABUR 180 ML PLBOT VATIKA HEALTH SHAMPOO 7 SATT POSHAN,DABUR VATIKA HEALTH SHAMPOO 7 SATT POSHAN 180ML,VATIKA,DABUR INDIA LIMITED,SHAMPOO,,2,105,210,105,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
77,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8906048471111,,SHRI HARI [OTHRBSC] 50 GM PLPCH SEV-USAL MASALA,SHRI HARI [OTHRBSC] 50 GM PLPCH SEV-USAL MASALA,SHRI HARI,SHRI HARI MASALA,MASALA POWDER,SEV USAL MASALA POWDER,1,25,25,25,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
78,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314200167,,COLGATE SUPER FLEXY BLACK SOFT 1PCS.,,,,,,1,20,20,20,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
79,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901207000324,,DABUR RED TOOTH PASTE PEPERMINT 200 GMS,DABUR RED TOOTH PASTE 200 G,DABUR,DABUR INDIA LTD,TOOTH PASTE & GELS,,1,92,92,92,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
80,10765,LOTUS SUPER STORE,Bharuch,10765-1118003851,01/01/2019 09:23:59 PM,01/01/2019,JAN19,W0,21,8901314021540,,COLGATE ANTI TOOTH DECAY TOOTHPASTE HERBAL 100 GMS,COLGATE TOOTHPASTE HERBAL 100G,COLGATE,COLGATE PALMOLIVE INDIA LTD,TOOTH PASTE & GELS,,1,55,55,55,981,NO,NO,392001,Gujarat,West,Surat,CASH,CURRENT
